ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,จำนวนประชากรชายทั้งหมด,จำนวนประชากรหญิงทั้งหมด,ผลรวมประชากรทั้งหมด,Calculated Total Population,Difference,Generation Z,Millennials,Generation X,Baby Boomers,Silent Generation
6705,50,จังหวัดเชียงใหม่,5017,อำเภอดอยเต่า,501706,ตำบลโปงทุ่ง,"3,362","3,292",0,6633,-6633,341,1365,1756,1546,460
6705,50,จังหวัดเชียงใหม่,5018,อำเภออมก๋อย,501801,ตำบลอมก๋อย,"7,767","7,894",0,15572,-15572,1031,4271,3301,2281,710
6705,50,จังหวัดเชียงใหม่,5018,อำเภออมก๋อย,501802,ตำบลยางเปียง,"5,136","5,081",0,10176,-10176,798,2730,1889,1363,398
6705,50,จังหวัดเชียงใหม่,5018,อำเภออมก๋อย,501803,ตำบลแม่ตื่น,"5,511","5,449",0,10822,-10822,969,2944,1851,1305,512
6705,50,จังหวัดเชียงใหม่,5018,อำเภออมก๋อย,501804,ตำบลม่อนจอง,"2,897","2,985",0,5848,-5848,373,1461,1349,938,306
6705,50,จังหวัดเชียงใหม่,5018,อำเภออมก๋อย,501805,ตำบลแม่หลอง,"4,404","4,103",0,8491,-8491,891,2225,1258,822,404
6705,50,จังหวัดเชียงใหม่,5018,อำเภออมก๋อย,501806,ตำบลนาเกียน,"5,631","5,408",0,11023,-11023,1160,3140,1830,1238,451
6705,50,จังหวัดเชียงใหม่,5019,อำเภอสารภี,501904,ตำบลไชยสถาน,"3,164","3,558",0,6497,-6497,225,1422,1667,1738,323
6705,50,จังหวัดเชียงใหม่,5019,อำเภอสารภี,501905,ตำบลขัวมุง,"2,817","3,188",0,5915,-5915,191,1265,1324,1888,442
6705,50,จังหวัดเชียงใหม่,5019,อำเภอสารภี,501906,ตำบลหนองแฝก,"3,170","3,536",0,6608,-6608,215,1595,1493,1860,537
6705,50,จังหวัดเชียงใหม่,5019,อำเภอสารภี,501908,ตำบลท่ากว้าง,"1,314","1,539",0,2834,-2834,97,556,621,922,259
6705,50,จังหวัดเชียงใหม่,5019,อำเภอสารภี,501909,ตำบลดอนแก้ว,"2,427","2,961",0,5286,-5286,161,1440,1170,1408,288
6705,50,จังหวัดเชียงใหม่,5019,อำเภอสารภี,501910,ตำบลท่าวังตาล,"5,529","6,560",0,11908,-11908,425,2959,2885,3126,721
6705,50,จังหวัดเชียงใหม่,5019,อำเภอสารภี,501911,ตำบลสันทราย,"2,327","2,632",0,4940,-4940,170,1047,1017,1744,358
6705,50,จังหวัดเชียงใหม่,5019,อำเภอสารภี,501912,ตำบลป่าบง,"2,370","2,629",0,4635,-4635,157,963,1146,1370,243
6705,50,จังหวัดเชียงใหม่,5020,อำเภอเวียงแหง,502001,ตำบลเมืองแหง,"8,494","8,055",0,8376,-8376,574,1767,1773,1578,365
6705,50,จังหวัดเชียงใหม่,5020,อำเภอเวียงแหง,502002,ตำบลเปียงหลวง,"13,097","13,012",0,8981,-8981,834,2433,1484,846,145
6705,50,จังหวัดเชียงใหม่,5020,อำเภอเวียงแหง,502003,ตำบลแสนไห,"5,856","5,752",0,2677,-2677,194,518,454,539,127
6705,50,จังหวัดเชียงใหม่,5021,อำเภอไชยปราการ,502101,ตำบลปงตำ,73,22,95,0,95,0,0,0,0,0
6705,50,จังหวัดเชียงใหม่,5021,อำเภอไชยปราการ,502102,ตำบลศรีดงเย็น,"5,876","5,725",0,7561,-7561,403,1667,1630,1930,383
6705,50,จังหวัดเชียงใหม่,5021,อำเภอไชยปราการ,502103,ตำบลแม่ทะลบ,"3,980","3,970",0,7266,-7266,377,1522,1487,1784,401
6705,50,จังหวัดเชียงใหม่,5021,อำเภอไชยปราการ,502104,ตำบลหนองบัว,"7,682","7,954",0,8846,-8846,669,2304,1738,1514,296
6705,50,จังหวัดเชียงใหม่,5022,อำเภอแม่วาง,502201,ตำบลบ้านกาด,"1,302","1,352",0,2459,-2459,75,537,500,899,149
6705,50,จังหวัดเชียงใหม่,5022,อำเภอแม่วาง,502202,ตำบลทุ่งปี๊,"2,091","2,226",0,4261,-4261,113,813,865,1538,417
6705,50,จังหวัดเชียงใหม่,5022,อำเภอแม่วาง,502203,ตำบลทุ่งรวงทอง,"1,045","1,155",0,2178,-2178,56,388,439,803,269
6705,50,จังหวัดเชียงใหม่,5022,อำเภอแม่วาง,502204,ตำบลแม่วิน,"6,646","6,408",0,12956,-12956,750,3465,2926,2056,472
6705,50,จังหวัดเชียงใหม่,5022,อำเภอแม่วาง,502205,ตำบลดอนเปา,"2,560","2,704",0,5137,-5137,231,1056,1202,1494,396
6705,50,จังหวัดเชียงใหม่,5023,อำเภอแม่ออน,502301,ตำบลออนเหนือ,"1,568","1,601",0,3134,-3134,91,624,703,1037,263
6705,50,จังหวัดเชียงใหม่,5023,อำเภอแม่ออน,502302,ตำบลออนกลาง,"2,337","2,394",0,4569,-4569,145,877,1044,1531,349
6705,50,จังหวัดเชียงใหม่,5023,อำเภอแม่ออน,502303,ตำบลบ้านสหกรณ์,"1,649","1,812",0,3392,-3392,130,691,797,1015,218
6705,50,จังหวัดเชียงใหม่,5023,อำเภอแม่ออน,502304,ตำบลห้วยแก้ว,"1,357","1,363",0,2667,-2667,88,496,631,884,173
6705,50,จังหวัดเชียงใหม่,5023,อำเภอแม่ออน,502305,ตำบลแม่ทา,"2,116","2,172",0,4274,-4274,165,757,1019,1469,330
6705,50,จังหวัดเชียงใหม่,5023,อำเภอแม่ออน,502306,ตำบลทาเหนือ,"1,220","1,209",0,2426,-2426,87,530,600,636,103
6705,50,จังหวัดเชียงใหม่,5024,อำเภอดอยหล่อ,502401,ตำบลดอยหล่อ,"5,497","5,867",0,11087,-11087,412,2345,2671,3418,783
6705,50,จังหวัดเชียงใหม่,5024,อำเภอดอยหล่อ,502402,ตำบลสองแคว,"2,113","2,403",0,4492,-4492,127,877,1031,1560,375
6705,50,จังหวัดเชียงใหม่,5024,อำเภอดอยหล่อ,502403,ตำบลยางคราม,"2,380","2,464",0,4760,-4760,130,932,1004,1694,396
6705,50,จังหวัดเชียงใหม่,5024,อำเภอดอยหล่อ,502404,ตำบลสันติสุข,"1,820","1,961",0,3646,-3646,146,753,816,1170,311
6705,50,จังหวัดเชียงใหม่,5025,อำเภอกัลยาณิวัฒนา,502501,ตำบลบ้านจันทร์,"2,333","2,220",0,4542,-4542,228,1225,1101,751,190
6705,50,จังหวัดเชียงใหม่,5025,อำเภอกัลยาณิวัฒนา,502502,ตำบลแม่แดด,"2,275","2,236",0,4502,-4502,282,1262,920,564,157
6705,50,จังหวัดเชียงใหม่,5025,อำเภอกัลยาณิวัฒนา,502503,ตำบลแจ่มหลวง,"2,089","1,906",0,3964,-3964,250,1194,841,601,166
6705,50,จังหวัดเชียงใหม่,5040,เทศบาลตำบลบวกค้าง,501304,ตำบลบวกค้าง,"4,159","4,632",0,8657,-8657,269,1852,1862,2831,646
6705,50,จังหวัดเชียงใหม่,5041,เทศบาลตำบลบ่อหลวง,501604,ตำบลบ่อหลวง,"5,976","5,990",0,11897,-11897,709,2793,2767,2524,830
6705,50,จังหวัดเชียงใหม่,5042,เทศบาลตำบลป่าไผ่,501412,ตำบลป่าไผ่,"7,395","8,301",0,15243,-15243,659,3903,3609,3578,675
6705,50,จังหวัดเชียงใหม่,5043,เทศบาลตำบลสันนาเม็ง,501404,ตำบลสันนาเม็ง,"6,292","7,499",0,13300,-13300,486,3238,3425,3277,687
